"ID","locus_tag","Organism","Experiment","product","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"fig|226186.12.peg.1792","BT_1749","Bacteroides thetaiotaomicron","ΔBBIF","Glycine betaine ABC transport system%2C glycine betaine-binding protein OpuAC",,22.7483021141102,4.69603074998928,1.30915849119264,3.58706052902059,0.000334426713869184,0.0420605905520089
"fig|226186.12.peg.2707","BT_2663","Bacteroides thetaiotaomicron","ΔBBIF","Tetratricopeptide repeat family protein",,69.3406405188779,-3.13708149486041,0.76774103595916,-4.08611933963015,4.38648221489813E-05,0.00896487302669806
"fig|226186.12.peg.2708","BT_2664","Bacteroides thetaiotaomicron","ΔBBIF","Putative phosphate ABC transporter%2C phosphate-binding component",,32.9458251262136,-3.44942792836717,0.951209042495421,-3.62636158222158,0.000287442786721004,0.0391640796907368
"fig|226186.12.peg.3391","BT_3324","Bacteroides thetaiotaomicron","ΔBBIF","Chondroitinase (chondroitin lyase)",,83.7014278613332,-2.9807480139766,0.716814374206152,-4.15832622954538,3.20587968632873E-05,0.00748801898163925
"fig|226186.12.peg.3395","BT_3328","Bacteroides thetaiotaomicron","ΔBBIF","hypothetical protein",,130.817494737239,-3.40966336665012,0.678120964505286,-5.02810493277936,4.95350804669354E-07,0.000636338668619277
"fig|226186.12.peg.3396","BT_3329","Bacteroides thetaiotaomicron","ΔBBIF","hypothetical protein",,110.068072425878,-3.53718392459373,0.715926595804291,-4.94070753248098,7.78395924916547E-07,0.000636338668619277
"fig|226186.12.peg.3398","BT_3331","Bacteroides thetaiotaomicron","ΔBBIF","Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family",,104.42590806872,-3.13761170211244,0.731840800468318,-4.28728720796194,1.8086837882251E-05,0.00591439598749609
"fig|226186.12.peg.3399","BT_3332","Bacteroides thetaiotaomicron","ΔBBIF","Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family",,199.605981846393,-2.80230535405315,0.73224706212783,-3.82699432881295,0.000129717502255266,0.0212088116187359
"fig|226186.12.peg.3418","BT_3350","Bacteroides thetaiotaomicron","ΔBBIF","Chondroitinase (chondroitin lyase)",,45.5233036887472,-3.394926181731,0.79982175696454,-4.24460344091579,2.18980335400911E-05,0.00596721413967483
"fig|226186.12.peg.433","BT_0434","Bacteroides thetaiotaomicron","ΔBBIF","NTP pyrophosphohydrolases including oxidative damage repair enzymes",,30.6217547004581,4.64127286966928,1.25343579437976,3.70284053677111,0.000213198899298622,0.0316891091230225
"fig|226186.12.peg.4490","BT_4410","Bacteroides thetaiotaomicron","ΔBBIF","hypothetical protein",,69.5459153945035,-3.25123809926231,0.748190964022014,-4.34546560384102,1.38980549581652E-05,0.00568082996415002
"fig|226186.12.peg.4491","BT_4411","Bacteroides thetaiotaomicron","ΔBBIF","hypothetical protein",,50.832001941705,-3.90403138669009,0.831143984967443,-4.69717817526287,2.63780336613504E-06,0.0014376028345436
"fig|226186.12.peg.4652","BT_4571","Bacteroides thetaiotaomicron","ΔBBIF","RNA polymerase ECF-type sigma factor",,20.5291672219471,6.58248194389386,1.63138421350705,4.03490599540818,5.46241625238896E-05,0.00992338952517328
"fig|518634.20.peg.1000","BBBR_0955","Bifidobacterium breve","ΔBBIF","Chaperone protein DnaJ","NA",30.700732602197,-2.03148651590573,0.537305247543009,-3.78087972376098,0.000156275164337466,0.00166238390252179
"fig|518634.20.peg.1001","BBBR_0956","Bifidobacterium breve","ΔBBIF","Fructosamine-3-kinase","NA",24.7385348882923,-2.06862726488204,0.428932502039154,-4.82273377523911,1.41603915215096E-06,2.49798156684131E-05
"fig|518634.20.peg.1003","BBBR_0958","Bifidobacterium breve","ΔBBIF","hypothetical protein","NA",21.5145915456799,-1.79572661713871,0.512742049296472,-3.50220275400196,0.00046142833283119,0.00400732759820318
"fig|518634.20.peg.1016","BBBR_0971","Bifidobacterium breve","ΔBBIF","Aquaporin Z","NA",15.8624987806016,1.88236417004826,0.618170354292378,3.04505733246139,0.00232635958437211,0.0144310987404182
"fig|518634.20.peg.102","BBBR_0097","Bifidobacterium breve","ΔBBIF","TonB-dependent receptor","NA",76.3592423454671,-2.93022852578307,0.463253948947285,-6.32531796532296,2.52711661539434E-10,9.83832640958692E-09
"fig|518634.20.peg.1020","BBBR_0975","Bifidobacterium breve","ΔBBIF","UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)","NA",14.1092031445723,1.97264645475281,0.743440041448,2.65340356286256,0.00796845368903413,0.038446086388545
"fig|518634.20.peg.103","BBBR_0098","Bifidobacterium breve","ΔBBIF","hypothetical protein","NA",18.7010220154763,-2.51161896722026,0.710732321904688,-3.53384655490182,0.000409558776319889,0.00366977665448535
"fig|518634.20.peg.1067","BBBR_1019","Bifidobacterium breve","ΔBBIF","Putative membrane-spanning protein","NA",16.8850304904826,-2.96665846022299,0.538649543335894,-5.50758558496173,3.63788561370973E-08,8.9286366475615E-07
"fig|518634.20.peg.1093","BBBR_1044","Bifidobacterium breve","ΔBBIF","hypothetical protein","NA",7.18552834014064,-2.00284255995225,0.730683649951647,-2.7410529304779,0.00612426408545396,0.0317169456535666
"fig|518634.20.peg.112","BBBR_0107","Bifidobacterium breve","ΔBBIF","Pullulanase (EC 3.2.1.41)","NA",28.2939816849986,-1.12344436284726,0.415632922602317,-2.70297250711823,0.00687224303583712,0.0344833883887116
"fig|518634.20.peg.113","BBBR_0108","Bifidobacterium breve","ΔBBIF","Chaperone protein DnaK","NA",4281.17091893956,-3.26695559351168,0.285883727811448,-11.4275674887882,3.04520186211018E-30,1.1460109674408E-27
"fig|518634.20.peg.114","BBBR_0109","Bifidobacterium breve","ΔBBIF","Heat shock protein GrpE","NA",752.126808177958,-2.8913423468261,0.284033279513098,-10.179590052907,2.44589592156513E-24,3.0682405504967E-22
"fig|518634.20.peg.1140","BBBR_1090","Bifidobacterium breve","ΔBBIF","hypothetical protein","NA",92.3657967211018,-1.14662762440404,0.207909896499306,-5.51502186144307,3.48736606648969E-08,8.74941397570413E-07
